----------------Prefab----------------------
undles\UI\UIHelp.prefab   Help:\n1. Mouse Right Move\n2. R Reload Dll\n3. T Transfer Map
undles\UI\Main\Role\UIOneSellSet.prefab   快捷出售
undles\UI\Main\Role\UIOneSellSet.prefab   基础
undles\UI\Main\Role\UIOneSellSet.prefab   中级
undles\UI\Main\Role\UIOneSellSet.prefab   高级
undles\UI\Main\Role\UIOneSellSet.prefab   特级
undles\UI\Main\Role\UIOneSellSet.prefab   超级
undles\UI\Main\Role\UIOneSellSet.prefab   终极
undles\UI\Main\Role\UIOneSellSet.prefab   出售增幅
undles\UI\Main\Role\UIProLucklyExplain.prefab   1.幸运值可以提高触发每次攻击的最高值。\n2.幸运值越高，触发的概率越高。\n3.当幸运值达到10点后，会100%触发最高上限。\n4.提升幸运属性会大幅度提高自身的战力。
undles\UI\Main\Role\UIProLucklyExplain.prefab   幸运效果
undles\UI\Main\Role\UIProLucklyExplain.prefab   属性来源
undles\UI\Main\Role\UIProLucklyExplain.prefab   1.幸运属性主要来源于装备的洗炼属性。\n2.在一些特殊宝石上也会有幸运属性出现。
undles\UI\Main\Role\UIPropertyHint.prefab   属性名
undles\UI\Main\Role\UIPropertyHint.prefab   属性描述············
undles\UI\Main\Role\UIPropertyHint.prefab   阈值：11111
undles\UI\Main\Role\UIRole.prefab   镶嵌
undles\UI\Main\Role\UIRole.prefab   强化
undles\UI\Main\Role\UIRole.prefab   生肖
undles\UI\Main\Role\UIRoleBag.prefab   一键整理
undles\UI\Main\Role\UIRoleBag.prefab   负重：
undles\UI\Main\Role\UIRoleBagSplit.prefab   拆分道具
undles\UI\Main\Role\UIRoleBagSplit.prefab   请输入要拆分道具的数量
undles\UI\Main\Role\UIRoleGem.prefab   白色孔位
undles\UI\Main\Role\UIRoleHuiShou.prefab   回炼装备
undles\UI\Main\Role\UIRoleHuiShou.prefab   Put Purple Quality
undles\UI\Main\Role\UIRoleHuiShou.prefab   分解奖励
undles\UI\Main\Role\UIRoleHuiShou.prefab   分解列表
undles\UI\Main\Role\UIRoleProperty.prefab   称号
undles\UI\Main\Role\UIRoleProperty.prefab   小小探险家
undles\UI\Main\Role\UIRoleProperty.prefab   活力
undles\UI\Main\Role\UIRoleProperty.prefab   体力
undles\UI\Main\Role\UIRoleProperty.prefab   体力值
undles\UI\Main\Role\UIRoleProperty.prefab   饱食度
undles\UI\Main\Role\UIRoleProperty.prefab   幸运值
undles\UI\Main\Role\UIRoleProperty.prefab   9/10
undles\UI\Main\Role\UIRoleProperty.prefab   (提升攻击物防和物穿、攻速相关属性)
undles\UI\Main\Role\UIRoleProperty.prefab   (提升技能伤害魔防和魔穿属性)
undles\UI\Main\Role\UIRoleProperty.prefab   (提升生命和闪避、伤害减免相关属性)
undles\UI\Main\Role\UIRoleProperty.prefab   (提升双防和抗暴、格挡回血相关属性)
undles\UI\Main\Role\UIRoleProperty.prefab   敏捷
undles\UI\Main\Role\UIRoleProperty.prefab   (提升攻击和攻速、缩减技能冷却时间)
undles\UI\Main\Role\UIRoleProperty.prefab   推荐加点
undles\UI\Main\Role\UIRoleQiangHua.prefab   武器
undles\UI\Main\Role\UIRoleQiangHua.prefab   已经强化到最大等级
undles\UI\Main\Role\UIRoleQiangHua.prefab   开始强化
undles\UI\Main\Role\UIRoleQiangHua.prefab   对应部位的装备提升25的属性
undles\UI\Main\Role\UIRoleQiangHua.prefab   强化成功率：
undles\UI\Main\Role\UIRoleQiangHua.prefab   附加成功率：
undles\UI\Main\Role\UIRoleQiangHua.prefab   强化消耗
undles\UI\Main\Role\UIRoleQiangHua.prefab   头部强化+1
undles\UI\Main\Role\UIRoleQiangHuaTip.prefab   恭喜您的强化提升至11级！
undles\UI\Main\Role\UIRoleQiangHuaTip.prefab   强化成功
undles\UI\Main\Role\UIRoleZodiac.prefab   提示:激活下层生肖属性需要先激活上层生肖。
undles\UI\Main\Role\UIRoleZodiac.prefab   初级
undles\UI\Main\Role\UIRoleZodiac.prefab   神级
undles\UI\Main\Role\UIRoleZodiac.prefab   (未激活)
undles\UI\Main\Role\UITreasureOpen.prefab   停止
undles\UI\Main\Role\UITreasureOpen.prefab   开启抽取
undles\UI\Main\Role\UITreasureOpen.prefab   提示:点击停止即可随机列表中的一个奖励
undles\UI\Main\Role\UITreasureOpen.prefab   这里有许许多多的宝藏!
undles\UI\Main\Role\UIWarehouse.prefab   账号仓库
undles\UI\Main\Role\UIWarehouse.prefab   宝石仓库
undles\UI\Main\Role\UIWarehouseAccount.prefab   提示：账号仓库只能存放装备用于账号之间的装备互通。
undles\UI\Main\Role\UIWarehouseAccount.prefab   一键存放
undles\UI\Main\Role\UIWarehouseGem.prefab   提示：只能存储宝石,野外获得宝石将自动存放进宝石仓库中。
undles\UI\Main\Role\UIWearWeapon.prefab   它可以让你的技能产生变化!\n不同类型的武器对应不同的技能哦!\n不同类型的武器对应不同的技能哦!
undles\UI\Main\Role\UIWearWeapon.prefab   武器提示
undles\UI\Main\RoleStory\UIStorySpeak.prefab   村长：
undles\UI\Main\RoleStory\UIStorySpeak.prefab   对话选项
undles\UI\Main\RoleStory\UIStorySpeak.prefab   是否原因帮他完成任务？
undles\UI\Main\RoleStory\UIStorySpeak.prefab   是
undles\UI\Main\RoleStory\UIStorySpeak.prefab    否
undles\UI\Main\RoleStory\UIStorySpeak.prefab   点击继续
undles\UI\Main\RoleXiLian\UIRoleXiLian.prefab   洗炼
undles\UI\Main\RoleXiLian\UIRoleXiLian.prefab   传承
undles\UI\Main\RoleXiLian\UIRoleXiLianExplain.prefab   1.洗炼装备可以让装备的洗炼属性产生变化。\n2.洗炼可以洗出额外的属性，如果运气好也可以在装备中发现隐藏技能。\n3.洗炼是幸运属性的主要来源。
undles\UI\Main\RoleXiLian\UIRoleXiLianExplain.prefab   洗练说明
undles\UI\Main\RoleXiLian\UIRoleXiLianExplain.prefab   钻石洗炼
undles\UI\Main\RoleXiLian\UIRoleXiLianExplain.prefab   1.使用钻石洗炼可以获得更高的洗炼熟练度。\n2.使用钻石洗炼不受洗炼大师的等级影响，可以激活全部的洗炼技能。\n3.使用钻石洗炼出现极品属性的概率会相对较高。
undles\UI\Main\RoleXiLian\UIRoleXiLianInherit.prefab   装备传承
undles\UI\Main\RoleXiLian\UIRoleXiLianInherit.prefab   传承消耗
undles\UI\Main\RoleXiLian\UIRoleXiLianInherit.prefab   传承鉴定
undles\UI\Main\RoleXiLian\UIRoleXiLianInherit.prefab   提示: 60级以上的传承装备可以在这里进行3次传承属性的鉴定。\n          饰品部位不能传承鉴定，传承鉴定无法转移。
undles\UI\Main\RoleXiLian\UIRoleXiLianInherit.prefab   提示:点击鉴定会立即消耗材料
undles\UI\Main\RoleXiLian\UIRoleXiLianInherit.prefab   同属性的传承鉴定只能生效1个喔！
undles\UI\Main\RoleXiLian\UIRoleXiLianInherit.prefab   3/3
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   18级洗练家
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   激活属性：
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   攻击穿透——5%
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   获得19级洗练家洗练之力，获得极品属性提升
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   100000/100000
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   提示：每次洗练都可以获取对应的洗练熟练度
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   激活奖励：
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   当前洗炼经验
undles\UI\Main\RoleXiLian\UIRoleXiLianLevel.prefab   激活技能：
undles\UI\Main\RoleXiLian\UIRoleXiLianNumReward.prefab   今日钻石洗练次数:10
undles\UI\Main\RoleXiLian\UIRoleXiLianNumReward.prefab   提示：今日洗练次数大于300次后，洗练消耗自动打9折
undles\UI\Main\RoleXiLian\UIRoleXiLianNumReward.prefab   洗练次数达到11111次
undles\UI\Main\RoleXiLian\UIRoleXiLianShow.prefab   道具洗炼
undles\UI\Main\RoleXiLian\UIRoleXiLianShow.prefab   洗练五次
undles\UI\Main\RoleXiLian\UIRoleXiLianShow.prefab   今日累计次数：0
undles\UI\Main\RoleXiLian\UIRoleXiLianSkill.prefab   一级洗练家激活
undles\UI\Main\RoleXiLian\UIRoleXiLianTen.prefab   洗炼属性
undles\UI\Main\RoleXiLian\UIRoleXiLianTransfer.prefab   转移装备需要放入紫色品质以上
undles\UI\Main\RoleXiLian\UIRoleXiLianTransfer.prefab   左边的装备洗炼属性会清空转职至右边的装备
undles\UI\Main\Season\UISeason.prefab   首页
undles\UI\Main\Season\UISeason.prefab   晶核
undles\UI\Main\Season\UISeason.prefab   爬塔
undles\UI\Main\Season\UISeasonHome.prefab   2023第一赛季
undles\UI\Main\Season\UISeasonHome.prefab   赛季时间:2023.10.9-2024.1.9
undles\UI\Main\Season\UISeasonHome.prefab   赛季经验:500000/999999
undles\UI\Main\Season\UISeasonHome.prefab   1.每次击败40级以上的领主怪物随机获得1-5点经验
undles\UI\Main\Season\UISeasonHome.prefab   2.完成赛季相关任务获得
undles\UI\Main\Season\UISeasonHome.prefab   3.通过赛季魔塔获取
undles\UI\Main\Season\UISeasonHome.prefab   赛季等级
undles\UI\Main\Season\UISeasonHome.prefab   25
undles\UI\Main\Season\UISeasonHome.prefab   赛季之王
undles\UI\Main\Season\UISeasonHome.prefab   出现位置:冰封城镇
undles\UI\Main\Season\UISeasonHome.prefab   刷新时间:3天11小时11分
undles\UI\Main\Season\UISeasonHome.prefab   查看领主
undles\UI\Main\Season\UISeasonHome.prefab   1级赛季奖励
undles\UI\Main\Season\UISeasonJingHe.prefab   提示:所有晶核在赛季结束时会自动消失,晶核不计入战力统计
undles\UI\Main\Season\UISeasonJingHe.prefab   方案
undles\UI\Main\Season\UISeasonJingHe.prefab   赛季晶核
undles\UI\Main\Season\UISeasonJingHe.prefab   开启消耗
undles\UI\Main\Season\UISeasonJingHe.prefab   赛季晶核之心
undles\UI\Main\Season\UISeasonJingHe.prefab   50/5
undles\UI\Main\Season\UISeasonJingHe.prefab   开启晶核
undles\UI\Main\Season\UISeasonJingHe.prefab   装备晶核
undles\UI\Main\Season\UISeasonJingHe.prefab   赛季晶核孔位
undles\UI\Main\Season\UISeasonJingHe.prefab   可以让玩家在本赛季拥有额外的赛季能力
undles\UI\Main\Season\UISeasonJingHe.prefab   卸下晶核
undles\UI\Main\Season\UISeasonJingHeZhuru.prefab   赛季晶核:生命
undles\UI\Main\Season\UISeasonJingHeZhuru.prefab   当前品质：90
undles\UI\Main\Season\UISeasonJingHeZhuru.prefab   本次预计增加晶核品质
undles\UI\Main\Season\UISeasonJingHeZhuru.prefab   10~20
undles\UI\Main\Season\UISeasonJingHeZhuru.prefab   晶核注入
undles\UI\Main\Season\UISeasonLordDetail.prefab   赛季领主
undles\UI\Main\Season\UISeasonLordDetail.prefab   即将出现在魔法森林中...
undles\UI\Main\Season\UISeasonLordDetail.prefab   剩余时间:19:19
undles\UI\Main\Season\UISeasonLordDetail.prefab   赛季果实
undles\UI\Main\Season\UISeasonLordDetail.prefab   可以降低赛季领主3个小时的刷新时间
undles\UI\Main\Season\UISeasonMain.prefab   倒计时 0:0
undles\UI\Main\Season\UISeasonStore.prefab   装备洗练石
undles\UI\Main\Season\UISeasonStore.prefab   我的赛季币:
undles\UI\Main\Season\UISeasonTask.prefab   赛季任务
undles\UI\Main\Season\UISeasonTask.prefab   每周任务
undles\UI\Main\Season\UISeasonTask.prefab   我的任务
undles\UI\Main\Season\UISeasonTask.prefab   击败5个任意怪物
undles\UI\Main\Season\UISeasonTask.prefab   进度:5/5
undles\UI\Main\Season\UISeasonTask.prefab   荣耀挑战
undles\UI\Main\Season\UISeasonTask.prefab   当前任务进度:6/10
undles\UI\Main\Season\UISeasonTask.prefab   当前赛季在地图内击败其他玩家5次
undles\UI\Main\Season\UISeasonTask.prefab   任务奖励
undles\UI\Main\Season\UISeasonTask.prefab   提交
undles\UI\Main\Season\UISeasonTower.prefab   本周赛季排行
undles\UI\Main\Season\UISeasonTower.prefab   名次
undles\UI\Main\Season\UISeasonTower.prefab   层数
undles\UI\Main\Season\UISeasonTower.prefab   时间
undles\UI\Main\Season\UISeasonTower.prefab   玩家的名字名字
undles\UI\Main\Season\UISeasonTower.prefab   20层
undles\UI\Main\Season\UISeasonTower.prefab   2小时2分2秒
undles\UI\Main\Season\UISeasonTower.prefab   奖励预览
undles\UI\Main\Season\UISeasonTower.prefab   赛季之塔
undles\UI\Main\Season\UISeasonTower.prefab   挑战时间：
undles\UI\Main\Season\UISeasonTower.prefab   3. 如果层数相同则按照当前挑战时间最短进行排序。
undles\UI\Main\Season\UISeasonTower.prefab   1. 每周赛季之塔重置一次。
undles\UI\Main\Season\UISeasonTower.prefab   2. 每周一0:00点，根据挑战的层数进行发放奖励。
undles\UI\Main\Season\UISeasonTower.prefab   2小时2分35秒
undles\UI\Main\Season\UISeasonTower.prefab   当前层数：
undles\UI\Main\Season\UISeasonTower.prefab   9/20
undles\UI\Main\Season\UISeasonTower.prefab   进入赛季之塔
undles\UI\Main\Season\UISeasonTower.prefab   11层
undles\UI\Main\Season\UISeasonTowerReward.prefab   提示: 每周一0:00点通过邮箱进行发放哦，大家记得去领取哦！
undles\UI\Main\Setting\UISetting.prefab   设置
undles\UI\Main\Setting\UISetting.prefab   挂机
undles\UI\Main\Setting\UISettingFrame.prefab   手机性能一般
undles\UI\Main\Setting\UISettingFrame.prefab   手机性能较好
undles\UI\Main\Setting\UISettingFrame.prefab   动画提示
undles\UI\Main\Setting\UISettingFrame.prefab   开启高帧可以使画面更加的流畅,需要当前手机的配置较好。
undles\UI\Main\Setting\UISettingFrame.prefab   使用普通
undles\UI\Main\Setting\UISettingFrame.prefab   开启高帧
undles\UI\Main\Setting\UISettingFrame.prefab   如果游戏中你感觉卡顿,可以在设置处恢复普通模式\n
undles\UI\Main\Setting\UISettingGame.prefab   技能位置设置
undles\UI\Main\Setting\UISettingGame.prefab   关闭游戏
undles\UI\Main\Setting\UISettingGame.prefab   返回登录
undles\UI\Main\Setting\UISettingGame.prefab   游戏版本号：
undles\UI\Main\Setting\UISettingGame.prefab   187
undles\UI\Main\Setting\UISettingGame.prefab   上次登录时间:
undles\UI\Main\Setting\UISettingGame.prefab   游戏难度
undles\UI\Main\Setting\UISettingGame.prefab   2022年5月22日
undles\UI\Main\Setting\UISettingGame.prefab   固定/移动摇杆
undles\UI\Main\Setting\UISettingGame.prefab   固定
undles\UI\Main\Setting\UISettingGame.prefab   游戏音乐
undles\UI\Main\Setting\UISettingGame.prefab   音乐
undles\UI\Main\Setting\UISettingGame.prefab   音效
undles\UI\Main\Setting\UISettingGame.prefab   帧数显示
undles\UI\Main\Setting\UISettingGame.prefab   点击移动
undles\UI\Main\Setting\UISettingGame.prefab   高帧模式
undles\UI\Main\Setting\UISettingGame.prefab   流畅模式
undles\UI\Main\Setting\UISettingGame.prefab   高清
undles\UI\Main\Setting\UISettingGame.prefab   流畅
undles\UI\Main\Setting\UISettingGame.prefab   背影显示
undles\UI\Main\Setting\UISettingGame.prefab   难度设置
undles\UI\Main\Setting\UISettingGame.prefab   随机坐骑
undles\UI\Main\Setting\UISettingGame.prefab   绿色
undles\UI\Main\Setting\UISettingGame.prefab   蓝色
undles\UI\Main\Setting\UISettingGame.prefab   宝石
undles\UI\Main\Setting\UISettingGame.prefab   攻击模式
undles\UI\Main\Setting\UISettingGame.prefab   全体攻击
undles\UI\Main\Setting\UISettingGame.prefab   队伍模式
undles\UI\Main\Setting\UISettingGame.prefab   家族模式
undles\UI\Main\Setting\UISettingGame.prefab   和平模式
undles\UI\Main\Setting\UISettingGame.prefab   攻击目标
undles\UI\Main\Setting\UISettingGame.prefab   最近
undles\UI\Main\Setting\UISettingGame.prefab   目标
undles\UI\Main\Setting\UISettingGame.prefab   屏蔽其他玩家
undles\UI\Main\Setting\UISettingGame.prefab   自动攻击
undles\UI\Main\Setting\UISettingGame.prefab   进入野外自动隐藏功能列表
undles\UI\Main\Setting\UISettingGame.prefab   优先显示家族名字
undles\UI\Main\Setting\UISettingGame.prefab   技能优先攻击玩家
undles\UI\Main\Setting\UISettingGame.prefab   拾取过滤
undles\UI\Main\Setting\UISettingGame.prefab   重置镜头
undles\UI\Main\Setting\UISettingGame.prefab   镜头纵深
undles\UI\Main\Setting\UISettingGame.prefab   旋转视角
undles\UI\Main\Setting\UISettingGame.prefab   隐藏分享
undles\UI\Main\Setting\UISettingGame.prefab   游戏昵称
undles\UI\Main\Setting\UISettingGame.prefab   未连接服务器
undles\UI\Main\Setting\UISettingGame.prefab   00000000
undles\UI\Main\Setting\UISettingGame.prefab   ID
undles\UI\Main\Setting\UISettingGame.prefab   背景音效
undles\UI\Main\Setting\UISettingGame.prefab   分辨率
undles\UI\Main\Setting\UISettingGame.prefab   游戏音效
undles\UI\Main\Setting\UISettingGame.prefab   内存占用
undles\UI\Main\Setting\UISettingGame.prefab   无法移动
undles\UI\Main\Setting\UISettingGuaJi.prefab   自动一键出售
undles\UI\Main\Setting\UISettingGuaJi.prefab   开始挂机
undles\UI\Main\Setting\UISettingGuaJi.prefab   关闭挂机
undles\UI\Main\Setting\UISettingGuaJi.prefab   原地挂机
undles\UI\Main\Setting\UISettingGuaJi.prefab   自动使用药剂
undles\UI\Main\Setting\UISettingGuaJi.prefab   技能释放顺序
undles\UI\Main\Setting\UISettingGuaJi.prefab   编辑技能
undles\UI\Main\Setting\UISettingPool.prefab   1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111
undles\UI\Main\Setting\UISettingPool.prefab   如果游戏中你感觉卡顿,截图给作者136087482\n
undles\UI\Main\Setting\UISettingSkill.prefab   快捷技能栏
undles\UI\Main\Setting\UISettingSkill.prefab   挂机释放顺序
undles\UI\Main\Setting\UISettingSkill.prefab   提示：技能按顺序进行释放，如果当前技能冷却将自动跳过当前技能向后进行释放
undles\UI\Main\Setting\UISettingSkill.prefab   设置顺序
undles\UI\Main\Setting\UISettingTitle.prefab   显示称号
undles\UI\Main\Setting\UISettingTitle.prefab   攻击： 1
undles\UI\Main\ShouJi\UIShouJi.prefab   收集
undles\UI\Main\ShouJi\UIShouJi.prefab   珍宝
undles\UI\Main\ShouJi\UIShouJiChapter.prefab   第一章章
undles\UI\Main\ShouJi\UIShouJiChapter.prefab   暴击率 %5
undles\UI\Main\ShouJi\UIShouJiItem.prefab   已拥有
undles\UI\Main\ShouJi\UIShouJiItem.prefab   30
undles\UI\Main\ShouJi\UIShouJiSelect.prefab   提示：装备一旦吞噬将立即销毁
undles\UI\Main\ShouJi\UIShouJiSelect.prefab   装备吞噬
undles\UI\Main\ShouJi\UIShouJiSelect.prefab   吞噬装备
undles\UI\Main\ShouJi\UIShouJiTreasure.prefab   1/10
undles\UI\Main\ShouJi\UIShouJiTreasure.prefab   吞噬
undles\UI\Main\ShouJi\UIShouJiTreasure.prefab   11\n22
undles\UI\Main\Skill\UIBuffTips.prefab   啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
undles\UI\Main\Skill\UIBuffTips.prefab   持续时间1秒
undles\UI\Main\Skill\UISkill.prefab   技能
undles\UI\Main\Skill\UISkill.prefab   放置
undles\UI\Main\Skill\UISkill.prefab   天赋
undles\UI\Main\Skill\UISkill.prefab   生命之魂
undles\UI\Main\Skill\UISkillLearn.prefab   重置技能点
undles\UI\Main\Skill\UISkillLearn.prefab   主动技能
undles\UI\Main\Skill\UISkillLearn.prefab   被动技能
undles\UI\Main\Skill\UISkillLearn.prefab   强化技能
undles\UI\Main\Skill\UISkillLearn.prefab   旋风斩
undles\UI\Main\Skill\UISkillLearn.prefab   当前等级
undles\UI\Main\Skill\UISkillLearn.prefab   力量+10
undles\UI\Main\Skill\UISkillLearn.prefab   下级等级
undles\UI\Main\Skill\UISkillLearn.prefab   消耗:1技能点
undles\UI\Main\Skill\UISkillLearn.prefab   学习技能
undles\UI\Main\Skill\UISkillLearn.prefab   已满级
undles\UI\Main\Skill\UISkillLearn.prefab   升级技能
undles\UI\Main\Skill\UISkillLearn.prefab   技能描述
undles\UI\Main\Skill\UISkillLearn.prefab   需要技能点:10
undles\UI\Main\Skill\UISkillLearn.prefab   20级以后学习
undles\UI\Main\Skill\UISkillLearn.prefab   提示：技能点数每次角色升级获得1点
undles\UI\Main\Skill\UISkillLifeShield.prefab   澜汐之盾 级
undles\UI\Main\Skill\UISkillLifeShield.prefab   道具注入
undles\UI\Main\Skill\UISkillLifeShield.prefab   生命之盾 1级
undles\UI\Main\Skill\UISkillLifeShield.prefab   99 / 100
undles\UI\Main\Skill\UISkillLifeShield.prefab   受到攻击任务伤害降低1%
undles\UI\Main\Skill\UISkillLifeShield.prefab   本次注入预计获得100-200经验
undles\UI\Main\Skill\UISkillLifeShield.prefab   注入道具
undles\UI\Main\Skill\UISkillMake.prefab   提示:每种道具熟练度超过一定值不会增长
undles\UI\Main\Skill\UISkillMake.prefab   消耗活力:
undles\UI\Main\Skill\UISkillMake.prefab   当前活力:  100
undles\UI\Main\Skill\UISkillMake.prefab   制作道具：
undles\UI\Main\Skill\UISkillMake.prefab   Make Content
undles\UI\Main\Skill\UISkillMake.prefab   冷却：10秒
undles\UI\Main\Skill\UISkillMake.prefab   熟练度:1-3点   上限200点
undles\UI\Main\Skill\UISkillMake.prefab   制造道具列表
undles\UI\Main\Skill\UISkillMake.prefab   遗忘技能
undles\UI\Main\Skill\UISkillMake.prefab   熔 炼
undles\UI\Main\Skill\UISkillMake.prefab   学习新技能
undles\UI\Main\Skill\UISkillMake.prefab   开始熔炼
undles\UI\Main\Skill\UISkillMake.prefab   装备列表
undles\UI\Main\Skill\UISkillMake.prefab   熔炼列表
undles\UI\Main\Skill\UISkillMake.prefab   通过熔炼\n获得此道具
undles\UI\Main\Skill\UISkillSet.prefab   药剂栏
undles\UI\Main\Skill\UISkillSet.prefab   提示:拖动技能和药剂到快捷施法栏中可以在主界面施法中展现
undles\UI\Main\Skill\UISkillSet.prefab   道具列表
undles\UI\Main\Skill\UISkillTianFu.prefab   7级天赋
undles\UI\Main\Skill\UISkillTianFu.prefab   熔岩爆裂
undles\UI\Main\Skill\UISkillTianFu.prefab   激活专精
undles\UI\Main\Skill\UISkillTianFu.prefab   需要玩家等级达到:
undles\UI\Main\Skill\UISkillTianFu.prefab   12
undles\UI\Main\Skill\UISkillTianFu.prefab   当前三种专精只能激活其中一个，请谨慎选择
undles\UI\Main\Skill\UISkillTianFu.prefab   请开启天赋系统
undles\UI\Main\Skill\UISkillTips.prefab   类型：主动技能
undles\UI\Main\Skill\UISkillTips.prefab   套装技能穿戴3个时激活此技能
undles\UI\Main\Store\UIStore.prefab   售价\n99999
undles\UI\Main\Store\UIStore.prefab   数量:1
undles\UI\Main\Store\UIStore.prefab   腰带腰带腰带腰带
undles\UI\Main\Task\UIGivePet.prefab   提交宠物
undles\UI\Main\Task\UIGivePet.prefab   上交一只6技能以上的宠物上交一只6技能以上的宠物
undles\UI\Main\Task\UIGivePet.prefab   任务要求
undles\UI\Main\Task\UIGiveTask.prefab   给与道具
undles\UI\Main\Task\UIGiveTask.prefab   提交道具
undles\UI\Main\Task\UITask.prefab   成长之路
undles\UI\Main\Task\UITaskA.prefab   任务详情
undles\UI\Main\Task\UITaskA.prefab   任务目标
undles\UI\Main\Task\UITaskA.prefab   等级到达50/50         (出现在：龙之峡谷)
undles\UI\Main\Task\UITaskA.prefab   经验
undles\UI\Main\Task\UITaskA.prefab   +999999
undles\UI\Main\Task\UITaskA.prefab   放弃任务
undles\UI\Main\Task\UITaskA.prefab   前往任务
undles\UI\Main\Task\UITaskA.prefab   提交任务请找:村长
undles\UI\Main\Task\UITaskB.prefab   ......................................................
undles\UI\Main\Task\UITaskGet.prefab   魔导师.加尔
undles\UI\Main\Task\UITaskGet.prefab   嘿小勇士你是我引导的第8434个来这里探险的人。
undles\UI\Main\Task\UITaskGet.prefab   收集树皮
undles\UI\Main\Task\UITaskGet.prefab   接取任务
undles\UI\Main\Task\UITaskGet.prefab   提交任务
undles\UI\Main\Task\UITaskGet.prefab   给予道具
undles\UI\Main\Task\UITaskGet.prefab   兑换魔能
undles\UI\Main\Task\UITaskGet.prefab   魔能币
undles\UI\Main\Task\UITaskGet.prefab   领取节日奖励
undles\UI\Main\Task\UITaskGet.prefab   经验兑换
undles\UI\Main\Task\UITaskGet.prefab   神兽碎片兑换
undles\UI\Main\Task\UITaskGet.prefab   前往神秘地图
undles\UI\Main\Task\UITaskType.prefab   杀怪任务   2-1
undles\UI\Main\Task\UITaskType.prefab   主线任务
undles\UI\Main\Team\UITeam.prefab   申请列表
undles\UI\Main\Team\UITeam.prefab   离开队伍
undles\UI\Main\Team\UITeam.prefab   队长
undles\UI\Main\Team\UITeam.prefab   等待加入
undles\UI\Main\Team\UITeam.prefab   队员
undles\UI\Main\Team\UITeamApplyItem.prefab   测试名称(人机)
undles\UI\Main\Team\UITeamApplyItem.prefab   等级1
undles\UI\Main\Team\UITeamApplyItem.prefab   战力99999
undles\UI\Main\Team\UITeamApplyItem.prefab   大魔导师
undles\UI\Main\Team\UITeamApplyItem.prefab   人机角色
undles\UI\Main\Team\UITeamApplyItem.prefab   提示: 使用人机角色不会有爆率加成哦
undles\UI\Main\Team\UITeamApplyList.prefab   提示：组队尽量选择玩家,人机角色只能协助你进行战斗。
undles\UI\Main\Turtle\UITurtle.prefab   1. 自己支持的小龟前往终点后将获得奖励。
undles\UI\Main\Turtle\UITurtle.prefab   2.小龟在前进的路途上会不断给周围玩家\n随机投放奖励哦。
